"ID";"DTM";"P";"T";"RM"
"HRADISTE";1926-08-15;271.8;13.941;110.093
"HRADISTE";1926-09-15;46.99;12.561;36.88
"HRADISTE";1926-10-15;47.33;7.069;31.449
"HRADISTE";1926-11-15;36.97;4.318;30.026
"HRADISTE";1926-12-15;13.87;-2.626;24.664
"HRADISTE";1927-01-15;30.13;-1.658;25.049
"HRADISTE";1927-02-15;64.46;-3.226;22.882
"HRADISTE";1927-03-15;61.34;2.905;54.797
"HRADISTE";1927-04-15;41.32;5.713;25.072
"HRADISTE";1927-05-15;124.3;9.676;40.833
"HRADISTE";1927-06-15;211.62;14.042;77.487
"HRADISTE";1927-07-15;264.8;15.898;112.976
"HRADISTE";1927-08-15;79.84;15.382;45.564
"HRADISTE";1927-09-15;82.22;12.254;38.836
"HRADISTE";1927-10-15;61.3;6.028;38.125
"HRADISTE";1927-11-15;59.98;0.516;42.139
"HRADISTE";1927-12-15;32.33;-6.692;29.581
"HRADISTE";1928-01-15;44.48;-1.727;29.139
"HRADISTE";1928-02-15;24.23;-1.371;28.059
"HRADISTE";1928-03-15;41.81;-0.13;28.525
"HRADISTE";1928-04-15;78.04;5.976;52.747
"HRADISTE";1928-05-15;52.02;7.996;26.923
"HRADISTE";1928-06-15;103.17;12.826;26.256
"HRADISTE";1928-07-15;96.57;17.759;21.162
"HRADISTE";1928-08-15;80.22;15.627;14.7
"HRADISTE";1928-09-15;67.27;11.301;10.707
"HRADISTE";1928-10-15;29.02;6.983;6.864
"HRADISTE";1928-11-15;24.69;3.944;5.219
"HRADISTE";1928-12-15;59.13;-4.312;5.852
"HRADISTE";1929-01-15;23.71;-9.005;4.002
"HRADISTE";1929-02-15;58.32;-8.744;3.046
"HRADISTE";1929-03-15;41.82;-1.084;9.951
"HRADISTE";1929-04-15;69.21;2.96;55.595
"HRADISTE";1929-05-15;187.42;11.325;94.445
"HRADISTE";1929-06-15;95.51;13.342;43.838
"HRADISTE";1929-07-15;47.68;16.311;29.647
"HRADISTE";1929-08-15;127.19;15.627;28.297
"HRADISTE";1929-09-15;83.02;12.964;21.74
"HRADISTE";1929-10-15;44.85;7.968;18.934
"HRADISTE";1929-11-15;38.26;2.223;21.493
"HRADISTE";1929-12-15;20.95;-0.479;19.479
"HRADISTE";1930-01-15;58.76;-3.085;19.215
"HRADISTE";1930-02-15;28.05;-5.203;16.586
"HRADISTE";1930-03-15;19.49;2.658;36.171
"HRADISTE";1930-04-15;65.07;6.629;24.158
"HRADISTE";1930-05-15;113.91;10.082;33.729
"HRADISTE";1930-06-15;84.21;16.377;22.414
"HRADISTE";1930-07-15;99.39;15.427;18.764
"HRADISTE";1930-08-15;81.68;14.398;13.449
"HRADISTE";1930-09-15;29.8;12.238;7.909
"HRADISTE";1930-10-15;44.88;6.876;6.518
"HRADISTE";1930-11-15;49.19;3.152;6.958
"HRADISTE";1930-12-15;84.48;-3.297;9.296
"HRADISTE";1931-01-15;19.31;-3.396;11.08
"HRADISTE";1931-02-15;52.35;-3.857;11.951
"HRADISTE";1931-03-15;44.69;-2.748;13.945
"HRADISTE";1931-04-15;128.67;3.305;87.83
"HRADISTE";1931-05-15;83.04;13.798;45.295
"HRADISTE";1931-06-15;122.08;15.766;40.411
"HRADISTE";1931-07-15;113.42;15.951;31.77
"HRADISTE";1931-08-15;96.2;14.267;24.716
"HRADISTE";1931-09-15;67.98;8.441;23.073
"HRADISTE";1931-10-15;98.33;5.128;40.625
"HRADISTE";1931-11-15;55.82;0.368;37.938
"HRADISTE";1931-12-15;68.98;-3.728;30.071
"HRADISTE";1932-01-15;35.63;-2.661;27.802
"HRADISTE";1932-02-15;62.94;-6.643;21.436
"HRADISTE";1932-03-15;31.65;-2.495;22.081
"HRADISTE";1932-04-15;43.33;5.463;69.268
"HRADISTE";1932-05-15;19.43;11.249;27.632
"HRADISTE";1932-06-15;71.45;12.613;25.016
"HRADISTE";1932-07-15;185.18;16.931;46.969
"HRADISTE";1932-08-15;163.25;16.619;52.308
"HRADISTE";1932-09-15;149.5;14.716;59.104
"HRADISTE";1932-10-15;67.34;7.625;42.944
"HRADISTE";1932-11-15;87.44;1.241;54.854
"HRADISTE";1932-12-15;59.89;-3.768;39.245
"HRADISTE";1933-01-15;51.49;-7.001;30.004
"HRADISTE";1933-02-15;35.76;-2.602;28.566
"HRADISTE";1933-03-15;25.88;1.221;39.773
"HRADISTE";1933-04-15;32.3;4.592;49.705
"HRADISTE";1933-05-15;167.95;9.452;67.322
"HRADISTE";1933-06-15;79.81;11.967;36.751
"HRADISTE";1933-07-15;178.67;15.81;57.772
"HRADISTE";1933-08-15;120.22;15.512;42.383
"HRADISTE";1933-09-15;29.06;11.385;23.586
"HRADISTE";1933-10-15;47.69;6.952;19.047
"HRADISTE";1933-11-15;28.53;0.188;19.881
"HRADISTE";1933-12-15;50.12;-8.021;13.883
"HRADISTE";1934-01-15;50.7;-3.527;15.504
"HRADISTE";1934-02-15;73.64;-2.993;16.303
"HRADISTE";1934-03-15;18.42;2.49;35.149
"HRADISTE";1934-04-15;67.3;8.205;58.051
"HRADISTE";1934-05-15;79.97;12.316;29.348
"HRADISTE";1934-06-15;118.35;13.997;29.357
"HRADISTE";1934-07-15;124.82;17.014;27.173
"HRADISTE";1934-08-15;81.38;15.522;16.54
"HRADISTE";1934-09-15;56.31;13.332;10.881
"HRADISTE";1934-10-15;55.57;7.352;12.373
"HRADISTE";1934-11-15;48.12;1.725;19.541
"HRADISTE";1934-12-15;18;1.959;15.418
"HRADISTE";1935-01-15;42.83;-5.18;14.261
